language	total stems	Nouns	Proper Nouns	Verbs	Adjectives	Other
kaz	37801	15294	9436	4261	5273	3537
kir	15886	5297	6327	1067	1238	1957
crh	13631	6335	4151	1121	1603	421
uzb	36684	19926	1204	6096	5168	4290
kaa	28474	11679	652	8294	3814	4035
uig	25385	14571	1287	3969	3112	2446
tuk	2986	1854	119	131	647	235
